Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails	Cutadapt_percent_trimmed	featureCounts_Assigned	featureCounts_percent_assigned	Bowtie 2_overall_alignment_rate
CD24Mid-1-R1	44.76090564	51.0	100.0	1909188.0	18.1818181818				
CD24Mid-1-R2	42.5936697119	51.0	100.0	1909188.0	18.1818181818	0.19415138792			
CD24Mid-1.filtered							3071504	77.5945640677	
CD24Mid-1.hisat2QC									95.93
CD24Mid-3-R1	45.0470990663	51.0	100.0	1930800.0	18.1818181818				
CD24Mid-3-R2	42.5293266684	51.0	100.0	1930800.0	18.1818181818	0.195683913404			
CD24Mid-3.filtered							3089269	76.8432630942	
CD24Mid-3.hisat2QC									96.06
CD24Mid-5-R1	43.1191846604	50.0	100.0	2031147.0	18.1818181818				
CD24Mid-5-R2	40.963302053	50.0	100.0	2031147.0	18.1818181818	0.200863354548			
CD24Mid-5.filtered							3223877	76.3443174832	
CD24Mid-5.hisat2QC									96.22
CD24Mid-7-R1	43.3405436778	50.0	100.0	2115974.0	18.1818181818				
CD24Mid-7-R2	40.9773670381	50.0	100.0	2115974.0	18.1818181818	0.206637227111			
CD24Mid-7.filtered							3362598	75.9614061792	
CD24Mid-7.hisat2QC									96.34
CD24Neg-2-R1	40.717189045	52.0	100.0	992385.0	18.1818181818				
CD24Neg-2-R2	38.3286321658	52.0	100.0	992385.0	18.1818181818	0.191195957214			
CD24Neg-2.filtered							1553857	77.1930251621	
CD24Neg-2.hisat2QC									94.26
CD24Neg-4-R1	39.4183590058	52.0	100.0	1051418.0	18.1818181818				
CD24Neg-4-R2	36.0533944783	52.0	100.0	1051418.0	18.1818181818	0.211014078131			
CD24Neg-4.filtered							1645537	76.7407707949	
CD24Neg-4.hisat2QC									94.26
CD24Neg-6-R1	44.6871388493	51.0	100.0	1657198.0	18.1818181818				
CD24Neg-6-R2	42.144600839	51.0	100.0	1657198.0	18.1818181818	0.190183671474			
CD24Neg-6.filtered							2665040	78.0764592901	
CD24Neg-6.hisat2QC									95.63
CD24Neg-8-R1	39.7131151072	52.0	100.0	1099892.0	18.1818181818				
CD24Neg-8-R2	37.3671870321	52.0	100.0	1099892.0	18.1818181818	0.215958475923			
CD24Neg-8.filtered							1693388	75.7220452699	
CD24Neg-8.hisat2QC									94.1
