"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0008150","biological_process","BP",1072,363,396,0.0216622727735094,0.450873470059903
"GO:0006950","response to stress","BP",237,86,80,0.129312148417284,0.880739014615262
"GO:0006952","defense response","BP",94,43,25,0.00496177703214237,0.989333332712849
"GO:0009987","cellular process","BP",918,302,349,0.583388874980287,0.0631890722346539
"GO:0010033","response to organic substance","BP",155,64,45,0.0125102298621317,0.98872900895901
"GO:0034097","response to cytokine","BP",63,27,19,0.059642924261662,0.898271764943093
"GO:0035456","response to interferon-beta","BP",10,6,1,0.0722515399186628,0.990119584601605
"GO:0035458","cellular response to interferon-beta","BP",9,5,1,0.138768526256934,0.984286079071867
"GO:0042221","response to chemical","BP",200,75,62,0.0805550647667348,0.975901529428485
"GO:0050896","response to stimulus","BP",459,170,154,0.0108492756591502,0.973708846604399
"GO:0051716","cellular response to stimulus","BP",388,134,139,0.233723799356133,0.715305018575866
"GO:0070887","cellular response to chemical stimulus","BP",151,57,48,0.108279408238572,0.930109058718804
"GO:0071310","cellular response to organic substance","BP",129,53,38,0.0254602772516166,0.975073777010766
"GO:0071345","cellular response to cytokine stimulus","BP",56,24,19,0.0735534489172862,0.724626987753975
"GO:0009611","response to wounding","BP",29,9,9,0.658263302509473,0.801116883782108
"GO:0006464","cellular protein modification process","BP",261,79,98,0.872388389074696,0.420558997234393
"GO:0006486","protein glycosylation","BP",7,3,2,0.421456398014824,0.796965780033131
"GO:0006487","protein N-linked glycosylation","BP",2,1,1,0.551174573929065,0.601250246759229
"GO:0006807","nitrogen compound metabolic process","BP",594,159,255,0.999998482487295,7.29753033251277e-06
"GO:0008152","metabolic process","BP",685,204,277,0.997690539325169,0.00143018074305005
"GO:0009058","biosynthetic process","BP",352,96,151,0.997611296896679,0.00306746126105205
"GO:0009059","macromolecule biosynthetic process","BP",291,66,137,0.999996375618233,2.3293412582137e-05
"GO:0009100","glycoprotein metabolic process","BP",16,7,6,0.251599688511292,0.572367905209442
"GO:0009101","glycoprotein biosynthetic process","BP",13,6,4,0.231801293362221,0.767491176287152
"GO:0019538","protein metabolic process","BP",364,104,140,0.987491671597818,0.239023152509061
