"","Pathway","N","Up","Down","P.Up","P.Down"
"path:mmu00010","Glycolysis / Gluconeogenesis",7,4,2,0.168290416740536,0.797802745692076
"path:mmu00020","Citrate cycle (TCA cycle)",3,2,1,0.255279416860951,0.749036235577755
"path:mmu00030","Pentose phosphate pathway",1,1,0,0.330486763450043,1
"path:mmu00040","Pentose and glucuronate interconversions",2,2,0,0.109032385206595,1
"path:mmu00051","Fructose and mannose metabolism",1,1,0,0.330486763450043,1
"path:mmu00052","Galactose metabolism",6,2,3,0.64374377359946,0.391304919246863
"path:mmu00053","Ascorbate and aldarate metabolism",1,1,0,0.330486763450043,1
"path:mmu00061","Fatty acid biosynthesis",3,1,2,0.70027200410976,0.307721393391556
"path:mmu00071","Fatty acid degradation",4,4,0,0.0118056556863839,1
"path:mmu00140","Steroid hormone biosynthesis",1,1,0,0.330486763450043,1
"path:mmu00190","Oxidative phosphorylation",7,4,1,0.168290416740536,0.960550815169628
"path:mmu00220","Arginine biosynthesis",2,2,0,0.109032385206595,1
"path:mmu00230","Purine metabolism",10,2,4,0.89359024047379,0.53748257537966
"path:mmu00240","Pyrimidine metabolism",8,1,3,0.960104871804768,0.617018163360053
"path:mmu00250","Alanine, aspartate and glutamate metabolism",1,1,0,0.330486763450043,1
"path:mmu00260","Glycine, serine and threonine metabolism",7,3,1,0.422778360481311,0.960550815169628
"path:mmu00270","Cysteine and methionine metabolism",2,1,0,0.55194114169349,1
"path:mmu00280","Valine, leucine and isoleucine degradation",1,1,0,0.330486763450043,1
"path:mmu00310","Lysine degradation",4,3,0,0.108218510458519,1
"path:mmu00330","Arginine and proline metabolism",5,3,0,0.205250985119935,1
"path:mmu00340","Histidine metabolism",2,2,0,0.109032385206595,1
"path:mmu00350","Tyrosine metabolism",3,1,0,0.70027200410976,1
"path:mmu00360","Phenylalanine metabolism",3,1,0,0.70027200410976,1
"path:mmu00380","Tryptophan metabolism",3,3,0,0.0359088693794176,1
"path:mmu00410","beta-Alanine metabolism",4,2,0,0.402340323263383,1
"path:mmu00430","Taurine and hypotaurine metabolism",1,1,0,0.330486763450043,1
"path:mmu00440","Phosphonate and phosphinate metabolism",1,1,0,0.330486763450043,1
"path:mmu00480","Glutathione metabolism",3,2,1,0.255279416860951,0.749036235577755
"path:mmu00500","Starch and sucrose metabolism",5,2,3,0.533733215359014,0.264881292930862
"path:mmu00510","N-Glycan biosynthesis",2,1,1,0.55194114169349,0.601931288182356
"path:mmu00511","Other glycan degradation",2,1,1,0.55194114169349,0.601931288182356
"path:mmu00512","Mucin type O-glycan biosynthesis",1,0,0,1,1
"path:mmu00513","Various types of N-glycan biosynthesis",3,2,1,0.255279416860951,0.749036235577755
