"","Term","Ont","N","Up","Down","P.Up","P.Down"
"GO:0016020","membrane","CC",456,197,127,2.56931465532751e-09,0.999999901161196
"GO:0008509","anion transmembrane transporter activity","MF",22,18,3,2.83174488060418e-06,0.996479138694672
"GO:0098862","cluster of actin-based cell projections","CC",19,16,2,5.26073243105497e-06,0.998167161674169
"GO:0031224","intrinsic component of membrane","CC",228,104,62,6.41400966903696e-06,0.999766111733497
"GO:0006810","transport","BP",302,131,91,7.41002281424747e-06,0.998132848751549
"GO:0008514","organic anion transmembrane transporter activity","MF",18,15,3,1.38324970603948e-05,0.98434428394019
"GO:0012505","endomembrane system","CC",245,109,71,1.56664039139634e-05,0.998550309955604
"GO:0051179","localization","BP",402,165,134,1.70021952440774e-05,0.969020408012779
"GO:0051234","establishment of localization","BP",312,133,96,1.97601860349507e-05,0.996361786929864
"GO:0016021","integral component of membrane","CC",222,100,60,2.11342266099535e-05,0.999770019584425
"GO:0046943","carboxylic acid transmembrane transporter activity","MF",17,14,3,3.59531799748202e-05,0.977564329149911
"GO:0005342","organic acid transmembrane transporter activity","MF",17,14,3,3.59531799748202e-05,0.977564329149911
"GO:0071702","organic substance transport","BP",211,95,62,3.7963808652887e-05,0.99517262691982
"GO:1905039","carboxylic acid transmembrane transport","BP",12,11,1,3.86216843988738e-05,0.996099747837826
"GO:1903825","organic acid transmembrane transport","BP",12,11,1,3.86216843988738e-05,0.996099747837826
"GO:0015075","ion transmembrane transporter activity","MF",45,28,9,3.94553623585111e-05,0.996038258816555
"GO:0098656","anion transmembrane transport","BP",16,13,2,9.22648127779514e-05,0.993642667021551
"GO:0005903","brush border","CC",16,13,2,9.22648127779514e-05,0.993642667021551
"GO:0005768","endosome","CC",75,40,18,0.000137021461397046,0.995002258611955
"GO:0046942","carboxylic acid transport","BP",28,19,7,0.000141074268977468,0.938553437034227
