"","Pathway","N","Up","Down","P.Up","P.Down"
"path:mmu03460","Fanconi anemia pathway",9,0,9,1,0.000120031340666977
"path:mmu03440","Homologous recombination",9,0,9,1,0.000120031340666977
"path:mmu03013","RNA transport",15,0,12,1,0.000775664252286895
"path:mmu04934","Cushing syndrome",10,1,9,0.982245949702301,0.00080706098505257
"path:mmu05217","Basal cell carcinoma",7,0,7,1,0.000901721791696934
"path:mmu05224","Breast cancer",12,1,10,0.992112712137861,0.00129502058122721
"path:mmu03010","Ribosome",12,1,10,0.992112712137861,0.00129502058122721
"path:mmu05225","Hepatocellular carcinoma",14,0,11,1,0.00172511681262021
"path:mmu05226","Gastric cancer",12,1,9,0.992112712137861,0.00807751255926024
"path:mmu05210","Colorectal cancer",9,0,7,1,0.0150809368054992
"path:mmu03040","Spliceosome",11,1,8,0.9881639664682,0.0169075492853787
"path:mmu04390","Hippo signaling pathway",17,2,11,0.990149431347234,0.0177563686828676
"path:mmu03008","Ribosome biogenesis in eukaryotes",4,0,4,1,0.0183605908986331
"path:mmu05162","Measles",6,1,5,0.910505127260232,0.0280728585628316
"path:mmu04916","Melanogenesis",8,1,6,0.960104871804768,0.0326786643938986
"path:mmu01524","Platinum drug resistance",5,1,4,0.866044901650104,0.064867794580175
"path:mmu01522","Endocrine resistance",9,2,6,0.853900816007315,0.0678741195706976
"path:mmu04110","Cell cycle",7,0,5,1,0.0686262472720754
"path:mmu03015","mRNA surveillance pathway",7,0,5,1,0.0686262472720754
"path:mmu05166","Human T-cell leukemia virus 1 infection",18,4,10,0.895641995395486,0.0815880991690993
