#1.2									
2998	8								
NAME	description	CD24Mid-1	CD24Neg-2	CD24Mid-3	CD24Neg-4	CD24Mid-5	CD24Neg-6	CD24Mid-7	CD24Neg-8
ENSMUSG00000000049	NA	29	9	33	11	34	35	23	16
ENSMUSG00000000056	NA	1005	798	1122	855	1153	1675	1192	857
ENSMUSG00000000093	NA	7	8	2	4	3	7	3	5
ENSMUSG00000000094	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000120	NA	2	0	0	0	2	0	2	0
ENSMUSG00000000125	NA	88	2	190	4	183	1	156	8
ENSMUSG00000000126	NA	4	4	4	6	0	4	0	2
ENSMUSG00000000142	NA	5300	509	6792	633	7719	1034	6573	1115
ENSMUSG00000000202	NA	10	2	20	2	10	0	5	0
ENSMUSG00000000204	NA	176	300	139	361	178	568	194	540
ENSMUSG00000000263	NA	0	0	0	0	0	2	0	0
ENSMUSG00000000275	NA	4154	2349	3696	2834	4777	4043	4464	2208
ENSMUSG00000000276	NA	501	90	427	91	636	79	600	114
ENSMUSG00000000278	NA	2760	730	2340	726	2771	920	2868	840
ENSMUSG00000000282	NA	1019	525	1095	572	1133	923	1409	641
ENSMUSG00000000301	NA	120	33	141	28	114	12	131	36
ENSMUSG00000000317	NA	28	0	29	3	69	4	29	2
ENSMUSG00000000318	NA	39	4	16	2	11	8	31	6
ENSMUSG00000000320	NA	2	0	1	1	2	5	0	2
ENSMUSG00000000378	NA	732	201	840	154	781	217	738	182
ENSMUSG00000000381	NA	0	0	0	0	0	0	0	0
ENSMUSG00000000384	NA	5829	2008	5505	1910	5175	2440	5992	1946
ENSMUSG00000000538	NA	1750	2240	1556	2593	1668	4119	1912	2479
ENSMUSG00000000567	NA	2390	98	3542	166	3558	151	3019	198
ENSMUSG00000000581	NA	1352	684	1570	686	1453	1133	1554	710
ENSMUSG00000000594	NA	1016	138	1169	125	864	93	1049	150
ENSMUSG00000000617	NA	0	0	0	0	2	0	0	0
ENSMUSG00000000631	NA	5691	6443	4539	6935	5326	10113	5623	7136
ENSMUSG00000000632	NA	0	0	5	0	2	0	1	0
ENSMUSG00000000686	NA	4	14	20	16	8	35	21	12
ENSMUSG00000000690	NA	79	56	78	29	43	7	110	34
ENSMUSG00000000724	NA	4	2	3	4	0	6	2	1
ENSMUSG00000000751	NA	2998	329	3666	281	3603	467	3862	303
ENSMUSG00000000753	NA	4	4	9	2	9	0	6	0
ENSMUSG00000000782	NA	564	65	724	54	634	80	671	88
ENSMUSG00000000804	NA	1096	636	1227	949	1702	1690	1844	1010
ENSMUSG00000000805	NA	4390	2690	2298	1664	3337	2452	2387	2129
ENSMUSG00000000861	NA	945	178	1059	201	1247	347	1167	220
ENSMUSG00000000869	NA	5	0	5	1	5	5	6	2
ENSMUSG00000000976	NA	1158	952	1130	947	1443	2038	1565	1266
ENSMUSG00000000982	NA	16	45	4	0	0	4	21	28
ENSMUSG00000000983	NA	3	0	4	0	0	0	2	0
ENSMUSG00000001027	NA	2	0	2	0	0	0	4	0
ENSMUSG00000001029	NA	17	6	11	0	2	0	16	0
ENSMUSG00000001034	NA	576	242	648	314	608	341	576	252
ENSMUSG00000001036	NA	556	100	580	141	665	155	631	141
ENSMUSG00000001039	NA	97	4	130	10	120	8	135	6
ENSMUSG00000001053	NA	437	55	536	31	480	22	441	42
ENSMUSG00000001054	NA	802	437	869	402	775	564	823	505
ENSMUSG00000001056	NA	3088	231	3700	286	2938	250	3113	311
ENSMUSG00000001095	NA	166	2072	66	1661	77	4939	65	1952
ENSMUSG00000001100	NA	2968	755	3197	723	2695	1090	2894	694
ENSMUSG00000001103	NA	0	0	2	0	0	0	0	0
ENSMUSG00000001105	NA	1511	1464	1553	1478	1429	2465	1427	1510
ENSMUSG00000001123	NA	23335	9671	21751	9898	20260	14681	27263	10242
ENSMUSG00000001240	NA	2	0	2	0	2	0	5	2
ENSMUSG00000001313	NA	238	418	275	610	145	826	163	481
ENSMUSG00000001323	NA	406	369	292	594	373	937	402	479
ENSMUSG00000001440	NA	12743	1770	17116	2267	18545	3543	20477	2544
ENSMUSG00000001441	NA	6023	2404	6548	2775	8331	4994	8680	3168
ENSMUSG00000001444	NA	7	43	0	2	0	16	2	34
ENSMUSG00000001445	NA	2323	780	2497	698	2132	1202	2324	752
ENSMUSG00000001493	NA	0	0	0	0	2	0	0	0
ENSMUSG00000001494	NA	0	0	0	0	0	0	0	0
ENSMUSG00000001506	NA	4	4	2	0	0	2	2	2
ENSMUSG00000001507	NA	5726	5502	3639	5302	5118	9341	5669	6386
ENSMUSG00000001508	NA	2	0	0	2	0	0	0	0
ENSMUSG00000001510	NA	0	0	1	0	2	0	2	0
ENSMUSG00000001552	NA	11921	5333	11656	5877	11352	8384	12224	5002
ENSMUSG00000001555	NA	3	0	4	2	2	0	0	0
ENSMUSG00000001558	NA	4	0	2	2	8	0	6	0
ENSMUSG00000001583	NA	1264	864	1280	936	1177	1339	1358	1012
ENSMUSG00000001588	NA	121	188	71	16	90	56	141	182
ENSMUSG00000001751	NA	537	207	515	307	461	482	498	197
ENSMUSG00000001755	NA	1973	691	2007	847	1829	1177	1912	706
ENSMUSG00000001891	NA	2616	1455	2845	1652	3160	2773	3371	1744
ENSMUSG00000001901	NA	63	34	108	28	196	45	128	21
ENSMUSG00000001983	NA	712	320	816	341	855	445	931	243
ENSMUSG00000002052	NA	5224	2072	5207	2195	6203	3912	6740	2562
ENSMUSG00000002055	NA	2995	479	3539	562	3679	599	3818	575
ENSMUSG00000002057	NA	2	0	0	2	0	0	2	0
ENSMUSG00000002058	NA	96	81	120	42	56	80	47	49
ENSMUSG00000002059	NA	4	5	16	0	7	0	0	0
ENSMUSG00000002064	NA	1278	838	1175	876	1059	1431	1093	913
ENSMUSG00000002129	NA	5301	1063	5976	1148	5677	1737	6044	1262
ENSMUSG00000002580	NA	445	337	534	377	439	478	502	308
ENSMUSG00000002699	NA	46	95	3	10	27	56	48	121
ENSMUSG00000002741	NA	4086	2409	4136	2620	4079	4180	4778	2592
ENSMUSG00000002812	NA	6154	4026	5738	3551	5572	6353	6367	4180
ENSMUSG00000002814	NA	858	245	931	197	823	271	932	286
ENSMUSG00000003119	NA	1539	639	1914	816	2701	1448	2707	999
ENSMUSG00000003518	NA	116	34	123	49	121	47	161	24
ENSMUSG00000003581	NA	461	379	479	354	497	564	500	435
ENSMUSG00000003585	NA	804	3544	784	6095	655	12236	650	4892
ENSMUSG00000003934	NA	61	13	80	13	97	54	94	31
ENSMUSG00000003948	NA	1555	427	1713	470	1777	620	1619	383
ENSMUSG00000003949	NA	15	37	19	59	31	161	38	57
ENSMUSG00000004018	NA	443	54	441	78	446	69	530	86
ENSMUSG00000004040	NA	2257	2113	1617	2314	2145	4385	2729	2502
ENSMUSG00000004043	NA	544	201	650	166	662	221	639	138
ENSMUSG00000004044	NA	32	2	38	5	48	4	45	4
ENSMUSG00000004296	NA	0	0	0	0	0	0	0	0
ENSMUSG00000004393	NA	2467	479	2632	495	2142	628	2334	528
ENSMUSG00000004394	NA	4290	3986	3876	4580	3791	7827	3873	3971
ENSMUSG00000004668	NA	0	0	0	0	0	0	2	4
ENSMUSG00000004748	NA	1492	653	1423	642	1360	927	1308	573
ENSMUSG00000004798	NA	505	413	496	549	599	1101	667	520
ENSMUSG00000004837	NA	17	32	16	4	22	14	23	41
ENSMUSG00000005043	NA	816	187	800	194	817	217	908	153
ENSMUSG00000005198	NA	10522	2926	11587	3606	11792	5371	12830	3209
ENSMUSG00000005202	NA	0	0	0	0	0	0	0	0
ENSMUSG00000005204	NA	2658	946	2812	1010	2811	1624	2938	1088
ENSMUSG00000005237	NA	143	191	157	308	242	301	181	299
ENSMUSG00000005267	NA	103	26	112	18	85	32	168	37
ENSMUSG00000005417	NA	6550	4040	6832	3578	7059	5181	7401	5263
ENSMUSG00000005917	NA	0	2	0	0	0	4	0	0
ENSMUSG00000005947	NA	196	760	113	73	126	233	238	833
ENSMUSG00000005949	NA	632	550	537	600	616	936	639	602
ENSMUSG00000005950	NA	16	4	8	2	9	3	7	3
ENSMUSG00000005951	NA	793	823	544	984	610	1759	720	874
ENSMUSG00000005952	NA	0	2	5	6	6	3	2	7
ENSMUSG00000006056	NA	0	0	0	0	1	0	0	0
ENSMUSG00000006057	NA	8067	3651	8203	3180	7006	4455	7610	3281
ENSMUSG00000006058	NA	2225	1262	2290	1238	1852	1844	2078	1305
ENSMUSG00000006127	NA	1024	798	997	749	932	1237	1086	914
ENSMUSG00000006169	NA	14786	4315	13766	4433	17594	7533	19967	5169
ENSMUSG00000006574	NA	0	0	2	0	0	0	0	0
ENSMUSG00000006575	NA	328	181	493	180	420	256	380	179
ENSMUSG00000006777	NA	215	103	337	160	272	121	255	88
ENSMUSG00000006782	NA	1176	394	1278	316	957	532	1246	400
ENSMUSG00000006784	NA	5	0	19	4	0	2	13	2
ENSMUSG00000006920	NA	2017	1001	2060	1105	2074	2002	2240	1117
ENSMUSG00000006930	NA	163	14	206	21	182	8	199	15
ENSMUSG00000006931	NA	41	6	46	23	50	16	24	10
ENSMUSG00000007646	NA	137	10	204	12	175	2	172	8
ENSMUSG00000007653	NA	2	0	0	0	0	0	2	0
ENSMUSG00000007739	NA	9481	2141	10761	2254	10715	3690	10660	2168
ENSMUSG00000007777	NA	618	252	711	301	711	458	740	241
ENSMUSG00000007850	NA	12022	2713	11880	3167	17206	5400	17960	4064
ENSMUSG00000007877	NA	4	0	2	0	4	2	2	4
ENSMUSG00000008855	NA	1684	1698	1729	1999	1362	2541	1214	1937
ENSMUSG00000009073	NA	5236	1819	5349	1688	5650	2893	5733	1826
ENSMUSG00000009075	NA	6	3	2	4	2	6	4	5
ENSMUSG00000009076	NA	324	157	384	126	297	245	274	158
ENSMUSG00000009079	NA	13241	2842	13788	2949	14937	4496	14550	3442
ENSMUSG00000009090	NA	5449	3116	5825	3238	5498	4973	5882	3217
ENSMUSG00000009185	NA	0	0	0	0	0	0	0	0
ENSMUSG00000009210	NA	4	2	0	0	2	0	5	0
ENSMUSG00000009350	NA	0	0	0	0	0	0	0	0
ENSMUSG00000009356	NA	0	0	0	0	0	0	2	0
ENSMUSG00000009588	NA	14	1	3	1	7	0	10	0
ENSMUSG00000009894	NA	521	202	592	256	625	441	593	219
ENSMUSG00000009900	NA	0	0	0	0	0	0	0	0
ENSMUSG00000010021	NA	18	10	28	7	27	0	24	4
ENSMUSG00000010025	NA	3934	3390	3902	4845	4687	8202	4252	3402
ENSMUSG00000010080	NA	651	21	871	48	763	44	670	29
ENSMUSG00000010086	NA	0	0	1	0	4	0	2	0
ENSMUSG00000010122	NA	69	1091	52	1677	63	3533	55	1892
ENSMUSG00000010142	NA	135	22	124	2	75	6	147	12
ENSMUSG00000010277	NA	11553	6634	10650	6945	14549	12760	15509	7875
ENSMUSG00000010342	NA	3	2	0	0	4	2	4	4
ENSMUSG00000010358	NA	1221	1779	1004	2089	871	3430	1024	2188
ENSMUSG00000010362	NA	514	173	573	188	622	259	433	175
ENSMUSG00000010392	NA	1627	928	1604	1032	2026	1858	2067	1000
ENSMUSG00000010554	NA	1070	226	1395	269	1763	353	1556	243
ENSMUSG00000010803	NA	0	2	2	0	2	0	0	0
ENSMUSG00000010841	NA	0	0	0	0	0	0	0	0
ENSMUSG00000011254	NA	613	64	717	99	600	88	701	86
ENSMUSG00000011256	NA	52	57	16	10	37	13	68	71
ENSMUSG00000011877	NA	3574	1974	3789	2202	3648	3278	3513	2085
ENSMUSG00000013415	NA	4	0	1	0	1	1	0	1
ENSMUSG00000013418	NA	10522	4163	10218	5204	12703	9088	12226	4379
ENSMUSG00000013483	NA	749	215	726	247	671	355	801	327
ENSMUSG00000013643	NA	86255	61854	59409	47775	61890	75813	73036	55172
ENSMUSG00000013646	NA	1543	612	1763	598	1576	949	1560	561
ENSMUSG00000013653	NA	417	329	216	106	253	158	323	305
ENSMUSG00000014177	NA	1253	453	1318	662	1520	1070	1517	585
ENSMUSG00000014195	NA	5151	2450	4924	2665	5368	4825	5498	3299
ENSMUSG00000014198	NA	6	5	5	4	2	8	6	6
ENSMUSG00000014243	NA	316	204	283	209	281	288	296	186
ENSMUSG00000014245	NA	798	330	726	366	856	755	728	367
ENSMUSG00000014349	NA	4175	1479	4567	1694	4399	2669	4431	1552
ENSMUSG00000014351	NA	1252	18	18679	280	4786	67	3107	81
ENSMUSG00000014606	NA	4090	3143	3645	3310	3468	5234	3522	3029
ENSMUSG00000014609	NA	2	5	1	7	3	9	0	12
ENSMUSG00000015542	NA	608	547	550	562	577	878	538	486
ENSMUSG00000015837	NA	3321	2426	3109	2995	3085	3717	3337	2403
ENSMUSG00000015869	NA	10374	7800	7448	6211	7656	8621	8867	6418
ENSMUSG00000016559	NA	28700	10217	27841	8863	28340	13795	28770	9144
ENSMUSG00000016940	NA	1527	954	1164	957	1186	1437	1211	1043
ENSMUSG00000016984	NA	488	104	656	145	985	277	1080	148
ENSMUSG00000017119	NA	4895	3047	4952	3926	5868	7011	6040	3798
ENSMUSG00000017132	NA	840	644	748	642	932	1153	847	742
ENSMUSG00000017146	NA	1195	30	1531	107	1925	81	2182	104
ENSMUSG00000017165	NA	0	0	2	0	0	0	0	0
ENSMUSG00000017167	NA	225	93	244	190	267	278	314	221
ENSMUSG00000017176	NA	594	28	859	50	678	25	674	45
ENSMUSG00000017188	NA	3302	1499	3456	1392	2973	1952	2938	1268
ENSMUSG00000017195	NA	10	6	14	9	10	21	9	15
ENSMUSG00000017204	NA	8	4	69	13	36	10	63	12
ENSMUSG00000017210	NA	2441	792	2655	755	2413	1074	2732	940
