"","logFC","logCPM","PValue","change"
"ENSMUSG00000000049",0.275499805959953,3.30979345251318,0.507297717273315,0
"ENSMUSG00000000056",0.955684297635522,8.84873907127027,5.69997309747368e-12,1
"ENSMUSG00000000125",-4.20171212791432,4.6867358312068,6.7041609874936e-17,-1
"ENSMUSG00000000142",-1.921245395597,10.197219308956,2.84673586838703e-19,-1
"ENSMUSG00000000204",2.44553752865671,7.26589625831393,5.58456826462428e-34,1
"ENSMUSG00000000275",0.497748460551642,10.5005500631213,0.000421708079010538,1
"ENSMUSG00000000276",-1.39372349914133,6.74458316217762,8.30317401777023e-09,-1
"ENSMUSG00000000278",-0.632632349826814,9.28243207084722,1.16804306150102e-06,-1
"ENSMUSG00000000282",0.272648227205926,8.49470590002583,0.0352586400943048,0
"ENSMUSG00000000301",-1.03506968182155,4.8107592129375,0.00957113549346518,-1
"ENSMUSG00000000317",-2.99867625832955,2.97558769720577,4.69207330912251e-07,-1
"ENSMUSG00000000318",-1.2057478947614,2.60822256861196,0.0331159500189539,-1
"ENSMUSG00000000378",-0.929262417878175,7.39088204217971,1.35638558181089e-08,-1
"ENSMUSG00000000384",-0.331320365440559,10.4730621809377,0.00794208578295369,-1
"ENSMUSG00000000538",1.80227332915403,10.0824939144659,2.76234709072642e-48,1
"ENSMUSG00000000567",-3.23270950201067,8.93642840436653,8.8012523937515e-42,-1
"ENSMUSG00000000581",0.192641800487033,8.80337530970499,0.0869350663553098,0
"ENSMUSG00000000594",-1.86361717871374,7.54416824375257,3.21184039559293e-13,-1
"ENSMUSG00000000631",1.61749680393828,11.5646421537023,3.09793766950852e-39,1
"ENSMUSG00000000686",1.57323903494274,2.89836143874665,0.00232152330171976,1
"ENSMUSG00000000690",-0.065062701378469,4.44618662355728,0.932664272280752,0
"ENSMUSG00000000751",-2.26890225518877,9.23353346621372,4.63295907008486e-69,-1
"ENSMUSG00000000782",-2.07244369115562,6.85422612394269,7.15181052527824e-27,-1
"ENSMUSG00000000804",0.599572050666452,9.01252113997069,0.00297970540964817,1
"ENSMUSG00000000805",0.637308920638777,10.1320611182327,0.0130006899138137,1
"ENSMUSG00000000861",-1.15356131846607,7.82557750714002,2.50794941871825e-15,-1
