"","x"
"1","ENSMUSG00000000125"
"2","ENSMUSG00000000142"
"3","ENSMUSG00000000276"
"4","ENSMUSG00000000278"
"5","ENSMUSG00000000301"
"6","ENSMUSG00000000317"
"7","ENSMUSG00000000318"
"8","ENSMUSG00000000378"
"9","ENSMUSG00000000384"
"10","ENSMUSG00000000567"
"11","ENSMUSG00000000594"
"12","ENSMUSG00000000751"
"13","ENSMUSG00000000782"
"14","ENSMUSG00000000861"
"15","ENSMUSG00000001036"
"16","ENSMUSG00000001039"
"17","ENSMUSG00000001053"
"18","ENSMUSG00000001056"
"19","ENSMUSG00000001100"
"20","ENSMUSG00000001440"
"21","ENSMUSG00000001445"
"22","ENSMUSG00000001901"
"23","ENSMUSG00000002055"
"24","ENSMUSG00000002129"
"25","ENSMUSG00000002814"
"26","ENSMUSG00000003518"
"27","ENSMUSG00000003948"
"28","ENSMUSG00000004018"
"29","ENSMUSG00000004043"
"30","ENSMUSG00000004044"
"31","ENSMUSG00000004393"
"32","ENSMUSG00000005043"
"33","ENSMUSG00000005198"
"34","ENSMUSG00000005267"
"35","ENSMUSG00000006169"
"36","ENSMUSG00000006782"
"37","ENSMUSG00000006930"
"38","ENSMUSG00000007646"
"39","ENSMUSG00000007739"
"40","ENSMUSG00000007850"
"41","ENSMUSG00000009073"
"42","ENSMUSG00000009079"
"43","ENSMUSG00000010080"
"44","ENSMUSG00000010142"
"45","ENSMUSG00000010554"
"46","ENSMUSG00000011254"
"47","ENSMUSG00000014351"
"48","ENSMUSG00000016559"
"49","ENSMUSG00000016984"
"50","ENSMUSG00000017146"
"51","ENSMUSG00000017176"
"52","ENSMUSG00000017210"
"53","ENSMUSG00000017286"
"54","ENSMUSG00000017311"
"55","ENSMUSG00000017404"
"56","ENSMUSG00000017405"
"57","ENSMUSG00000017421"
"58","ENSMUSG00000017428"
"59","ENSMUSG00000017446"
"60","ENSMUSG00000017493"
"61","ENSMUSG00000017499"
"62","ENSMUSG00000017548"
"63","ENSMUSG00000017550"
"64","ENSMUSG00000017607"
"65","ENSMUSG00000017686"
"66","ENSMUSG00000017692"
"67","ENSMUSG00000017716"
"68","ENSMUSG00000017724"
"69","ENSMUSG00000017774"
"70","ENSMUSG00000018068"
"71","ENSMUSG00000018160"
"72","ENSMUSG00000018339"
"73","ENSMUSG00000018340"
"74","ENSMUSG00000018362"
"75","ENSMUSG00000018377"
"76","ENSMUSG00000018379"
"77","ENSMUSG00000018398"
"78","ENSMUSG00000018411"
"79","ENSMUSG00000018412"
"80","ENSMUSG00000018415"
"81","ENSMUSG00000018428"
"82","ENSMUSG00000018433"
"83","ENSMUSG00000018446"
"84","ENSMUSG00000018449"
"85","ENSMUSG00000018470"
"86","ENSMUSG00000018481"
"87","ENSMUSG00000018486"
"88","ENSMUSG00000018547"
"89","ENSMUSG00000018548"
"90","ENSMUSG00000018554"
"91","ENSMUSG00000018583"
"92","ENSMUSG00000018651"
"93","ENSMUSG00000018666"
"94","ENSMUSG00000018678"
"95","ENSMUSG00000018697"
"96","ENSMUSG00000018698"
"97","ENSMUSG00000018733"
"98","ENSMUSG00000018774"
"99","ENSMUSG00000018809"
"100","ENSMUSG00000018841"
"101","ENSMUSG00000018848"
"102","ENSMUSG00000018882"
"103","ENSMUSG00000018921"
"104","ENSMUSG00000019122"
"105","ENSMUSG00000019189"
"106","ENSMUSG00000019303"
"107","ENSMUSG00000019373"
"108","ENSMUSG00000020116"
"109","ENSMUSG00000020122"
"110","ENSMUSG00000020142"
"111","ENSMUSG00000020176"
"112","ENSMUSG00000020268"
"113","ENSMUSG00000020280"
"114","ENSMUSG00000020282"
"115","ENSMUSG00000020290"
"116","ENSMUSG00000020328"
"117","ENSMUSG00000020330"
"118","ENSMUSG00000020358"
"119","ENSMUSG00000020361"
"120","ENSMUSG00000020362"
"121","ENSMUSG00000020366"
"122","ENSMUSG00000020372"
"123","ENSMUSG00000020380"
"124","ENSMUSG00000020381"
"125","ENSMUSG00000020387"
"126","ENSMUSG00000020392"
"127","ENSMUSG00000020393"
"128","ENSMUSG00000020413"
"129","ENSMUSG00000020422"
"130","ENSMUSG00000020430"
"131","ENSMUSG00000020431"
"132","ENSMUSG00000020434"
"133","ENSMUSG00000020439"
"134","ENSMUSG00000020451"
"135","ENSMUSG00000020453"
"136","ENSMUSG00000020454"
"137","ENSMUSG00000020457"
"138","ENSMUSG00000020458"
"139","ENSMUSG00000020460"
"140","ENSMUSG00000020462"
"141","ENSMUSG00000020464"
"142","ENSMUSG00000020471"
"143","ENSMUSG00000020472"
"144","ENSMUSG00000020482"
"145","ENSMUSG00000020483"
"146","ENSMUSG00000020492"
"147","ENSMUSG00000020493"
"148","ENSMUSG00000020514"
"149","ENSMUSG00000020516"
"150","ENSMUSG00000020525"
"151","ENSMUSG00000020526"
"152","ENSMUSG00000020528"
"153","ENSMUSG00000020532"
"154","ENSMUSG00000020534"
"155","ENSMUSG00000020536"
"156","ENSMUSG00000020549"
"157","ENSMUSG00000020553"
"158","ENSMUSG00000020610"
"159","ENSMUSG00000020612"
"160","ENSMUSG00000020623"
"161","ENSMUSG00000020677"
"162","ENSMUSG00000020687"
"163","ENSMUSG00000020691"
"164","ENSMUSG00000020692"
"165","ENSMUSG00000020696"
"166","ENSMUSG00000020697"
"167","ENSMUSG00000020700"
"168","ENSMUSG00000020705"
"169","ENSMUSG00000020706"
"170","ENSMUSG00000020716"
"171","ENSMUSG00000020720"
"172","ENSMUSG00000020728"
"173","ENSMUSG00000020738"
"174","ENSMUSG00000020739"
"175","ENSMUSG00000020741"
"176","ENSMUSG00000020744"
"177","ENSMUSG00000020770"
"178","ENSMUSG00000020775"
"179","ENSMUSG00000020776"
"180","ENSMUSG00000020778"
"181","ENSMUSG00000020781"
"182","ENSMUSG00000020783"
"183","ENSMUSG00000020808"
"184","ENSMUSG00000020812"
"185","ENSMUSG00000020832"
"186","ENSMUSG00000020834"
"187","ENSMUSG00000020840"
"188","ENSMUSG00000020841"
"189","ENSMUSG00000020844"
"190","ENSMUSG00000020846"
"191","ENSMUSG00000020847"
"192","ENSMUSG00000020849"
"193","ENSMUSG00000020850"
"194","ENSMUSG00000020863"
"195","ENSMUSG00000020882"
"196","ENSMUSG00000020886"
"197","ENSMUSG00000020888"
"198","ENSMUSG00000020893"
"199","ENSMUSG00000020895"
"200","ENSMUSG00000020897"
"201","ENSMUSG00000020898"
"202","ENSMUSG00000020899"
"203","ENSMUSG00000020904"
"204","ENSMUSG00000020905"
"205","ENSMUSG00000020914"
"206","ENSMUSG00000020917"
"207","ENSMUSG00000020918"
"208","ENSMUSG00000020919"
"209","ENSMUSG00000020923"
"210","ENSMUSG00000020925"
"211","ENSMUSG00000020929"
"212","ENSMUSG00000020935"
"213","ENSMUSG00000024205"
"214","ENSMUSG00000025134"
"215","ENSMUSG00000025135"
"216","ENSMUSG00000025144"
"217","ENSMUSG00000025153"
"218","ENSMUSG00000025155"
"219","ENSMUSG00000025156"
"220","ENSMUSG00000025372"
"221","ENSMUSG00000025384"
"222","ENSMUSG00000025574"
"223","ENSMUSG00000025577"
"224","ENSMUSG00000025579"
"225","ENSMUSG00000025580"
"226","ENSMUSG00000025582"
"227","ENSMUSG00000032740"
"228","ENSMUSG00000032782"
"229","ENSMUSG00000033066"
"230","ENSMUSG00000033857"
"231","ENSMUSG00000033909"
"232","ENSMUSG00000033983"
"233","ENSMUSG00000034120"
"234","ENSMUSG00000034121"
"235","ENSMUSG00000034175"
"236","ENSMUSG00000034177"
"237","ENSMUSG00000034274"
"238","ENSMUSG00000034285"
"239","ENSMUSG00000034329"
"240","ENSMUSG00000034543"
"241","ENSMUSG00000034587"
"242","ENSMUSG00000034614"
"243","ENSMUSG00000034652"
"244","ENSMUSG00000034708"
"245","ENSMUSG00000034768"
