	x
1	ENSMUSG00000000056
2	ENSMUSG00000000204
3	ENSMUSG00000000275
4	ENSMUSG00000000538
5	ENSMUSG00000000631
6	ENSMUSG00000000686
7	ENSMUSG00000000804
8	ENSMUSG00000000805
9	ENSMUSG00000000976
10	ENSMUSG00000001054
11	ENSMUSG00000001095
12	ENSMUSG00000001105
13	ENSMUSG00000001313
14	ENSMUSG00000001323
15	ENSMUSG00000001507
16	ENSMUSG00000001583
17	ENSMUSG00000001891
18	ENSMUSG00000002064
19	ENSMUSG00000002580
20	ENSMUSG00000002699
21	ENSMUSG00000002741
22	ENSMUSG00000002812
23	ENSMUSG00000003581
24	ENSMUSG00000003585
25	ENSMUSG00000003949
26	ENSMUSG00000004040
27	ENSMUSG00000004394
28	ENSMUSG00000004798
29	ENSMUSG00000004837
30	ENSMUSG00000005237
31	ENSMUSG00000005417
32	ENSMUSG00000005947
33	ENSMUSG00000005949
34	ENSMUSG00000005951
35	ENSMUSG00000006058
36	ENSMUSG00000006127
37	ENSMUSG00000006920
38	ENSMUSG00000008855
39	ENSMUSG00000009090
40	ENSMUSG00000010025
41	ENSMUSG00000010122
42	ENSMUSG00000010277
43	ENSMUSG00000010358
44	ENSMUSG00000010392
45	ENSMUSG00000011877
46	ENSMUSG00000013643
47	ENSMUSG00000014195
48	ENSMUSG00000014243
49	ENSMUSG00000014606
50	ENSMUSG00000015542
51	ENSMUSG00000015837
52	ENSMUSG00000015869
53	ENSMUSG00000016940
54	ENSMUSG00000017119
55	ENSMUSG00000017132
56	ENSMUSG00000017167
57	ENSMUSG00000017195
58	ENSMUSG00000017288
59	ENSMUSG00000017390
60	ENSMUSG00000017453
61	ENSMUSG00000017615
62	ENSMUSG00000017631
63	ENSMUSG00000017639
64	ENSMUSG00000017677
65	ENSMUSG00000017713
66	ENSMUSG00000017718
67	ENSMUSG00000017747
68	ENSMUSG00000017781
69	ENSMUSG00000017801
70	ENSMUSG00000017802
71	ENSMUSG00000017830
72	ENSMUSG00000017837
73	ENSMUSG00000018167
74	ENSMUSG00000018168
75	ENSMUSG00000018171
76	ENSMUSG00000018217
77	ENSMUSG00000018238
78	ENSMUSG00000018293
79	ENSMUSG00000018334
80	ENSMUSG00000018347
81	ENSMUSG00000018378
82	ENSMUSG00000018381
83	ENSMUSG00000018387
84	ENSMUSG00000018401
85	ENSMUSG00000018427
86	ENSMUSG00000018474
87	ENSMUSG00000018476
88	ENSMUSG00000018500
89	ENSMUSG00000018501
90	ENSMUSG00000018567
91	ENSMUSG00000018574
92	ENSMUSG00000018585
93	ENSMUSG00000018599
94	ENSMUSG00000018648
95	ENSMUSG00000018659
96	ENSMUSG00000018669
97	ENSMUSG00000018750
98	ENSMUSG00000018761
99	ENSMUSG00000018849
100	ENSMUSG00000018862
101	ENSMUSG00000018899
102	ENSMUSG00000018900
103	ENSMUSG00000018916
104	ENSMUSG00000018919
105	ENSMUSG00000018920
106	ENSMUSG00000018925
107	ENSMUSG00000018927
108	ENSMUSG00000018932
109	ENSMUSG00000019173
110	ENSMUSG00000019302
111	ENSMUSG00000019505
112	ENSMUSG00000020134
113	ENSMUSG00000020149
114	ENSMUSG00000020173
115	ENSMUSG00000020182
116	ENSMUSG00000020261
117	ENSMUSG00000020272
118	ENSMUSG00000020288
119	ENSMUSG00000020300
120	ENSMUSG00000020309
121	ENSMUSG00000020319
122	ENSMUSG00000020321
123	ENSMUSG00000020333
124	ENSMUSG00000020334
125	ENSMUSG00000020346
126	ENSMUSG00000020364
127	ENSMUSG00000020375
128	ENSMUSG00000020377
129	ENSMUSG00000020386
130	ENSMUSG00000020395
131	ENSMUSG00000020400
132	ENSMUSG00000020405
133	ENSMUSG00000020407
134	ENSMUSG00000020409
135	ENSMUSG00000020432
136	ENSMUSG00000020444
137	ENSMUSG00000020447
138	ENSMUSG00000020448
139	ENSMUSG00000020455
140	ENSMUSG00000020456
141	ENSMUSG00000020474
142	ENSMUSG00000020476
143	ENSMUSG00000020484
144	ENSMUSG00000020519
145	ENSMUSG00000020523
146	ENSMUSG00000020530
147	ENSMUSG00000020538
148	ENSMUSG00000020541
149	ENSMUSG00000020544
150	ENSMUSG00000020604
151	ENSMUSG00000020611
152	ENSMUSG00000020614
153	ENSMUSG00000020620
154	ENSMUSG00000020681
155	ENSMUSG00000020682
156	ENSMUSG00000020709
157	ENSMUSG00000020718
158	ENSMUSG00000020732
159	ENSMUSG00000020733
160	ENSMUSG00000020743
161	ENSMUSG00000020745
162	ENSMUSG00000020752
163	ENSMUSG00000020758
164	ENSMUSG00000020774
165	ENSMUSG00000020777
166	ENSMUSG00000020782
167	ENSMUSG00000020792
168	ENSMUSG00000020798
169	ENSMUSG00000020803
170	ENSMUSG00000020806
171	ENSMUSG00000020817
172	ENSMUSG00000020818
173	ENSMUSG00000020821
174	ENSMUSG00000020823
175	ENSMUSG00000020826
176	ENSMUSG00000020827
177	ENSMUSG00000020828
178	ENSMUSG00000020829
179	ENSMUSG00000020838
180	ENSMUSG00000020839
181	ENSMUSG00000020859
182	ENSMUSG00000020865
183	ENSMUSG00000020868
184	ENSMUSG00000020869
185	ENSMUSG00000020873
186	ENSMUSG00000020876
187	ENSMUSG00000020877
188	ENSMUSG00000020883
189	ENSMUSG00000020889
190	ENSMUSG00000020903
191	ENSMUSG00000020910
192	ENSMUSG00000020912
193	ENSMUSG00000020941
194	ENSMUSG00000020946
195	ENSMUSG00000023170
196	ENSMUSG00000023764
197	ENSMUSG00000024414
198	ENSMUSG00000025130
199	ENSMUSG00000025132
200	ENSMUSG00000025137
201	ENSMUSG00000025138
202	ENSMUSG00000025142
203	ENSMUSG00000025145
204	ENSMUSG00000025158
205	ENSMUSG00000025161
206	ENSMUSG00000025163
207	ENSMUSG00000025165
208	ENSMUSG00000025169
209	ENSMUSG00000025371
210	ENSMUSG00000025377
211	ENSMUSG00000025572
212	ENSMUSG00000025792
213	ENSMUSG00000025793
214	ENSMUSG00000032633
215	ENSMUSG00000032673
216	ENSMUSG00000033352
217	ENSMUSG00000033987
218	ENSMUSG00000034201
219	ENSMUSG00000034247
220	ENSMUSG00000034255
221	ENSMUSG00000034282
222	ENSMUSG00000034341
223	ENSMUSG00000034394
224	ENSMUSG00000034412
225	ENSMUSG00000034427
226	ENSMUSG00000034449
227	ENSMUSG00000034471
228	ENSMUSG00000034566
229	ENSMUSG00000034586
230	ENSMUSG00000034621
231	ENSMUSG00000034664
232	ENSMUSG00000034706
233	ENSMUSG00000034714
234	ENSMUSG00000034757
235	ENSMUSG00000034936
236	ENSMUSG00000034947
237	ENSMUSG00000034993
238	ENSMUSG00000035007
239	ENSMUSG00000035042
240	ENSMUSG00000035085
241	ENSMUSG00000035086
242	ENSMUSG00000035172
243	ENSMUSG00000035413
244	ENSMUSG00000035441
245	ENSMUSG00000035775
246	ENSMUSG00000035849
247	ENSMUSG00000036216
248	ENSMUSG00000036391
249	ENSMUSG00000036644
250	ENSMUSG00000037145
251	ENSMUSG00000037573
252	ENSMUSG00000037593
253	ENSMUSG00000037750
254	ENSMUSG00000037992
255	ENSMUSG00000038013
256	ENSMUSG00000038020
257	ENSMUSG00000038150
258	ENSMUSG00000038178
259	ENSMUSG00000038188
260	ENSMUSG00000038195
261	ENSMUSG00000038217
262	ENSMUSG00000038366
263	ENSMUSG00000038453
264	ENSMUSG00000038534
265	ENSMUSG00000038811
266	ENSMUSG00000038967
267	ENSMUSG00000038976
268	ENSMUSG00000039096
269	ENSMUSG00000039208
270	ENSMUSG00000039294
271	ENSMUSG00000039307
272	ENSMUSG00000039364
273	ENSMUSG00000039450
274	ENSMUSG00000039908
275	ENSMUSG00000040158
276	ENSMUSG00000040328
277	ENSMUSG00000040350
278	ENSMUSG00000040447
279	ENSMUSG00000040471
280	ENSMUSG00000040483
281	ENSMUSG00000040548
282	ENSMUSG00000040712
283	ENSMUSG00000040746
284	ENSMUSG00000040829
285	ENSMUSG00000040985
286	ENSMUSG00000041189
287	ENSMUSG00000041920
288	ENSMUSG00000042298
289	ENSMUSG00000042331
290	ENSMUSG00000042377
291	ENSMUSG00000042569
292	ENSMUSG00000042678
293	ENSMUSG00000042826
294	ENSMUSG00000042988
295	ENSMUSG00000043029
296	ENSMUSG00000043099
297	ENSMUSG00000043993
298	ENSMUSG00000044068
299	ENSMUSG00000044328
300	ENSMUSG00000044352
301	ENSMUSG00000044751
302	ENSMUSG00000044788
303	ENSMUSG00000044894
304	ENSMUSG00000045176
305	ENSMUSG00000045374
306	ENSMUSG00000045775
307	ENSMUSG00000045980
308	ENSMUSG00000046417
309	ENSMUSG00000046697
310	ENSMUSG00000046731
311	ENSMUSG00000046811
312	ENSMUSG00000047040
313	ENSMUSG00000047126
314	ENSMUSG00000047821
315	ENSMUSG00000048076
316	ENSMUSG00000048217
317	ENSMUSG00000048329
318	ENSMUSG00000048878
319	ENSMUSG00000049680
320	ENSMUSG00000049721
321	ENSMUSG00000049800
322	ENSMUSG00000049811
323	ENSMUSG00000050106
324	ENSMUSG00000050270
325	ENSMUSG00000050860
326	ENSMUSG00000051452
327	ENSMUSG00000051510
328	ENSMUSG00000051650
329	ENSMUSG00000052298
330	ENSMUSG00000053113
331	ENSMUSG00000054404
332	ENSMUSG00000055670
333	ENSMUSG00000056598
334	ENSMUSG00000056938
335	ENSMUSG00000057054
336	ENSMUSG00000057058
337	ENSMUSG00000057219
338	ENSMUSG00000057778
339	ENSMUSG00000057897
340	ENSMUSG00000057948
341	ENSMUSG00000058163
342	ENSMUSG00000058756
343	ENSMUSG00000059439
344	ENSMUSG00000059864
345	ENSMUSG00000060600
346	ENSMUSG00000061306
347	ENSMUSG00000061666
348	ENSMUSG00000061878
349	ENSMUSG00000062312
350	ENSMUSG00000063652
351	ENSMUSG00000064856
352	ENSMUSG00000069804
353	ENSMUSG00000069835
354	ENSMUSG00000069844
355	ENSMUSG00000069874
356	ENSMUSG00000069899
357	ENSMUSG00000069939
358	ENSMUSG00000070327
359	ENSMUSG00000070332
360	ENSMUSG00000070345
361	ENSMUSG00000070390
362	ENSMUSG00000072620
363	ENSMUSG00000072809
364	ENSMUSG00000076031
365	ENSMUSG00000076435
366	ENSMUSG00000078153
367	ENSMUSG00000078572
368	ENSMUSG00000078607
369	ENSMUSG00000078650
370	ENSMUSG00000078695
371	ENSMUSG00000078853
372	ENSMUSG00000078920
373	ENSMUSG00000078965
374	ENSMUSG00000080904
375	ENSMUSG00000081021
376	ENSMUSG00000081251
377	ENSMUSG00000081485
378	ENSMUSG00000081600
379	ENSMUSG00000081974
380	ENSMUSG00000082110
381	ENSMUSG00000082286
382	ENSMUSG00000082292
383	ENSMUSG00000082816
384	ENSMUSG00000084168
385	ENSMUSG00000084384
386	ENSMUSG00000084890
387	ENSMUSG00000085088
388	ENSMUSG00000085126
389	ENSMUSG00000085148
390	ENSMUSG00000085152
391	ENSMUSG00000085255
392	ENSMUSG00000085297
393	ENSMUSG00000085307
394	ENSMUSG00000085360
395	ENSMUSG00000085501
396	ENSMUSG00000085651
397	ENSMUSG00000085683
398	ENSMUSG00000085747
399	ENSMUSG00000085762
400	ENSMUSG00000085890
401	ENSMUSG00000085941
402	ENSMUSG00000086245
403	ENSMUSG00000086507
404	ENSMUSG00000086674
405	ENSMUSG00000086826
406	ENSMUSG00000086835
407	ENSMUSG00000087165
408	ENSMUSG00000087404
409	ENSMUSG00000087523
410	ENSMUSG00000087574
411	ENSMUSG00000089876
412	ENSMUSG00000091191
413	ENSMUSG00000092540
414	ENSMUSG00000092626
415	ENSMUSG00000093989
416	ENSMUSG00000094091
417	ENSMUSG00000095969
418	ENSMUSG00000096205
419	ENSMUSG00000098292
420	ENSMUSG00000102881
421	ENSMUSG00000109715
422	ENSMUSG00000109829
423	ENSMUSG00000118428
