# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "../mm10-allGenes.gtf" "-o" "CD24Mid-1.counts.txt" "CD24Mid-1.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	CD24Mid-1.filtered.bam
ENSMUST00000145164.7	chr11;chr11;chr11	3125904;3127479;3128929	3126058;3127644;3129396	+;+;+	789	18
ENSMUST00000132408.7	chr11;chr11;chr11;chr11	3125936;3127131;3127479;3128929	3126058;3127219;3127644;3129209	+;+;+;+	659	21
ENSMUST00000119128.7	chr11;chr11;chr11;chr11;chr11;chr11;chr11	3126006;3127479;3128929;3129382;3129765;3130153;3130793	3126058;3127644;3129165;3129520;3129911;3130313;3131004	+;+;+;+;+;+;+	1115	197
ENSMUST00000152828.1	chr11;chr11;chr11	3128972;3129382;3129765	3129165;3129520;3130146	+;+;+	715	32
ENSMUST00000101655.9	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131850;3132216;3132887;3133072;3134318;3134659;3135283;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3143695;3144217;3144792;3145241;3146162;3153432;3155399;3156772;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3143790;3144292;3144970;3145322;3146292;3153498;3155496;3156864;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3888	0
ENSMUST00000081318.12	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131850;3132216;3132887;3133072;3134318;3134626;3135283;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3143695;3144217;3144792;3145241;3146162;3153432;3155399;3156772;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3143790;3144292;3144970;3145322;3146292;3153498;3155496;3156864;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193407	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3969	0
ENSMUST00000066391.13	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131881;3132216;3132887;3133072;3134318;3134626;3135283;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3144217;3144792;3145241;3146162;3153432;3155399;3156772;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941;3193360	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3144292;3144970;3145322;3146292;3153498;3155496;3156864;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056;3193463	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3898	0
ENSMUST00000153425.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131886;3132216;3132887;3133072;3134318;3134659;3135283;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3143695;3144217;3144792;3145241;3146162;3153432;3155399;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3186065;3187240;3188941	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3143790;3144292;3144970;3145322;3146292;3153498;3155496;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3186136;3187410;3189056	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3759	0
ENSMUST00000144447.7	chr11;chr11;chr11;chr11	3131887;3133072;3135654;3135943	3132965;3135542;3135830;3136007	-;-;-;-	3792	82
ENSMUST00000140846.8	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	3131887;3132216;3132887;3133072;3134318;3134659;3135283;3135654;3135943;3136625;3136946;3140137;3142308;3143260;3143695;3144217;3144792;3145241;3146162;3153432;3155399;3156772;3157866;3159985;3164557;3165576;3170587;3177427;3179397;3188941	3132131;3132327;3132965;3133207;3134501;3134730;3135542;3135830;3136017;3136699;3137106;3140233;3142410;3143336;3143790;3144292;3144970;3145322;3146292;3153498;3155496;3156864;3157936;3160146;3164713;3165678;3170704;3177521;3179507;3189052	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3604	0
