#'chr'	'start'	'end'	'CD24Mid-1'	'CD24Neg-2'	'CD24Mid-3'	'CD24Neg-4'	'CD24Mid-5'	'CD24Neg-6'	'CD24Mid-7'	'CD24Neg-8'
chr11	0	10000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	10000	20000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	20000	30000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	30000	40000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	40000	50000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	50000	60000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	60000	70000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	70000	80000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	80000	90000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	90000	100000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	100000	110000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	110000	120000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	120000	130000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	130000	140000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	140000	150000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	150000	160000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	160000	170000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	170000	180000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	180000	190000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	190000	200000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	200000	210000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	210000	220000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	220000	230000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	230000	240000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	240000	250000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	250000	260000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	260000	270000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	270000	280000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	280000	290000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	290000	300000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	300000	310000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	310000	320000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	320000	330000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	330000	340000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	340000	350000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	350000	360000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	360000	370000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	370000	380000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	380000	390000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	390000	400000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	400000	410000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	410000	420000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	420000	430000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	430000	440000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	440000	450000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	450000	460000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	460000	470000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	470000	480000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	480000	490000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	490000	500000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	500000	510000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	510000	520000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	520000	530000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	530000	540000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	540000	550000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	550000	560000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	560000	570000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	570000	580000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	580000	590000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	590000	600000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	600000	610000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr11	610000	620000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
