# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "../mm10-chr11.gtf" "-o" "CD24Mid-7.counts2.txt" "CD24Mid-7.filtered.bam" 
Geneid	Chr	Start	End	Strand	Length	CD24Mid-7.filtered.bam
ENSMUSG00000082286	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3125904;3125936;3126006;3127131;3127479;3127479;3127479;3128929;3128929;3128929;3128972;3129382;3129382;3129765;3129765;3130153;3130793	3126058;3126058;3126058;3127219;3127644;3127644;3127644;3129165;3129396;3129209;3129165;3129520;3129520;3130146;3129911;3130313;3131004	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1757	859
ENSMUSG00000023764	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3131850;3131850;3131881;3131886;3131887;3131887;3131887;3131888;3131889;3131889;3131890;3132216;3132216;3132216;3132216;3132216;3132216;3132216;3132216;3132216;3132887;3132887;3132887;3132887;3132887;3132887;3132887;3132887;3133072;3133072;3133072;3133072;3133072;3133072;3133072;3133072;3133072;3133072;3134318;3134318;3134318;3134318;3134318;3134318;3134318;3134318;3134318;3134626;3134626;3134626;3134626;3134626;3134659;3134659;3134659;3134659;3134932;3135283;3135283;3135283;3135283;3135283;3135283;3135654;3135654;3135654;3135654;3135654;3135654;3135654;3135654;3135654;3135654;3135654;3135731;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3135943;3136625;3136625;3136625;3136625;3136625;3136625;3136625;3136625;3136625;3136625;3136625;3136946;3136946;3136946;3136946;3136946;3136946;3136946;3136946;3136946;3136946;3136946;3140137;3140137;3140137;3140137;3140137;3140137;3140137;3140137;3140137;3140137;3140137;3142308;3142308;3142308;3142308;3142308;3142308;3142308;3142308;3142308;3142308;3143260;3143260;3143260;3143260;3143260;3143260;3143260;3143260;3143260;3143695;3143695;3143695;3143695;3144217;3144217;3144217;3144217;3144217;3144217;3144217;3144217;3144217;3144220;3144792;3144792;3144792;3144792;3144792;3144792;3144792;3144792;3144792;3144792;3144792;3144881;3145241;3145241;3145241;3145241;3145241;3145241;3145241;3145241;3145241;3145241;3145241;3146162;3146162;3146162;3146162;3146162;3146162;3146162;3146162;3146162;3146162;3146162;3153384;3153432;3153432;3153432;3153432;3153432;3153432;3153432;3153432;3153432;3155399;3155399;3155399;3155399;3155399;3155399;3155399;3156772;3156772;3156772;3156772;3156772;3156772;3156812;3157866;3157866;3157866;3157866;3157866;3157866;3157866;3159985;3159985;3159985;3159985;3159985;3159985;3159985;3160035;3164557;3164557;3164557;3164557;3164557;3164557;3164557;3164557;3164557;3164557;3165254;3165254;3165576;3165576;3165576;3165576;3165576;3165576;3165576;3165576;3165576;3165576;3165576;3165625;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3170587;3176378;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3177427;3179397;3179397;3179397;3179397;3179397;3179397;3179397;3179397;3179397;3179397;3185568;3186065;3186065;3186065;3186065;3186065;3186065;3186065;3186065;3186065;3186065;3186065;3187240;3187240;3187240;3187240;3187240;3187240;3187240;3187240;3187240;3187240;3187240;3188878;3188941;3188941;3188941;3188941;3188941;3188941;3188941;3188941;3188941;3188941;3193360;3193360;3193360;3193360;3193360;3193360;3193360;3193360	3132131;3132131;3132131;3132131;3132131;3132131;3132965;3132131;3132131;3132131;3132965;3132272;3132327;3132327;3132327;3132327;3132327;3132327;3132327;3132327;3132965;3132965;3132965;3132965;3132965;3132965;3132965;3132965;3133207;3133207;3133207;3133207;3133207;3133207;3135542;3133207;3133207;3133207;3134501;3134501;3134501;3134501;3134501;3134501;3134501;3134501;3134501;3135542;3135542;3135542;3134730;3134730;3134730;3134730;3134730;3134730;3135542;3135542;3135542;3135542;3135542;3135542;3135542;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3135830;3136017;3136017;3136017;3136017;3136017;3136017;3136017;3136007;3136017;3136017;3136017;3136017;3136699;3136699;3136699;3136699;3136699;3136699;3136699;3136699;3136699;3136699;3136699;3137106;3137106;3137106;3137106;3137106;3137106;3137106;3137106;3137106;3137106;3137106;3140233;3140233;3140233;3140233;3140233;3140233;3140233;3140233;3140233;3140233;3140233;3142410;3142378;3142410;3142410;3142410;3142410;3142410;3142410;3142410;3142410;3143336;3143336;3143336;3143336;3143336;3143336;3143336;3143336;3143336;3143790;3143790;3143790;3143790;3144292;3144292;3144292;3144292;3144292;3144292;3144292;3144292;3144292;3144292;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3144970;3145322;3145322;3145322;3145322;3145322;3145322;3145322;3145322;3145322;3145322;3145322;3146722;3146356;3146292;3146292;3146292;3146292;3146292;3146292;3146292;3146292;3146292;3153498;3153498;3153498;3153498;3153498;3153498;3153498;3153498;3153498;3153498;3155496;3155496;3155496;3155496;3155496;3155496;3155496;3156864;3156864;3156864;3156864;3156864;3156864;3156864;3157936;3157936;3157936;3157936;3157936;3157936;3157936;3160146;3160146;3160146;3160146;3160146;3160146;3160146;3160146;3164713;3164713;3164713;3164597;3164713;3164713;3164713;3164713;3164713;3164713;3165321;3165321;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3165678;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3170704;3176466;3177521;3177521;3177493;3177521;3177521;3177521;3177521;3177521;3177521;3177521;3177521;3177521;3179507;3179507;3179507;3179507;3179507;3179507;3179507;3179507;3179507;3179507;3185974;3186136;3186136;3186136;3186136;3186136;3186136;3186136;3186136;3186136;3186136;3186136;3187410;3187355;3187410;3187410;3187410;3187410;3187410;3187410;3187410;3187410;3187410;3189056;3189056;3189056;3189056;3189056;3189056;3189052;3189056;3189056;3189056;3189056;3193424;3193424;3193421;3193460;3193411;3193439;3193463;3193407	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7559	1307
ENSMUSG00000087111	11;11;11	3142048;3142594;3143180	3142111;3142669;3143363	+;+;+	324	10
ENSMUSG00000081208	11	3149742	3150955	-	1214	42
ENSMUSG00000020457	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3187360;3188941;3249907;3250097;3252160;3252160;3252160;3252644;3252644;3252644;3254411;3254512;3256543;3256543;3256543;3257730;3259306;3259306;3259306;3259327;3262489;3262489;3262489;3262489;3264767;3264767;3264767;3266269;3266269;3266269;3266269	3187410;3189056;3250365;3250365;3252282;3252282;3252282;3252859;3252811;3252685;3254642;3254642;3256712;3256712;3256712;3259375;3259375;3259375;3259375;3259375;3262664;3262664;3262536;3262664;3264890;3264890;3264890;3266393;3266392;3266415;3266393	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3460	2634
ENSMUSG00000086049	11;11	3193516;3193812	3193714;3194263	-;-	651	0
ENSMUSG00000082658	11	3196454	3196824	-	371	0
ENSMUSG00000020454	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3202392;3202663;3202663;3202689;3202734;3202995;3203021;3203630;3203630;3203630;3203630;3203630;3203630;3203630;3203630;3213260;3213260;3213260;3213260;3213260;3213260;3213260;3213260;3215592;3215592;3215592;3215592;3215592;3215592;3215592;3220244;3220244;3220244;3220244;3220244;3220244;3221093;3221093;3221093;3221093;3224632;3224632;3224632;3224632;3224632;3227395;3227395;3227395;3227395;3227395;3227706;3227706;3227706;3227706;3227706;3227767;3227767;3227813;3229869;3229869;3229869;3229869;3229869;3229869;3229869;3229968;3233988;3233988;3233988;3233988;3234219;3234462;3234462;3234462;3234462;3234462;3234585;3235545;3235581;3235581;3235581;3235581;3235581;3235581;3235581;3236214;3236214;3236214;3236214;3236214;3236214;3236214;3236214;3239401;3239401;3239401;3239401;3239401;3239401;3239401;3239401;3240895;3240895;3240895;3240895;3240895;3240895;3242377;3242377;3242377;3242377;3242377;3243183;3243183;3243183;3243183;3243183;3243851;3243851;3243851;3243851;3243851	3202556;3202797;3202797;3202797;3202992;3203194;3203326;3203750;3203750;3203750;3203750;3203750;3203750;3203750;3203750;3213333;3213333;3213333;3213434;3213333;3213333;3213333;3213333;3215719;3215719;3215719;3215719;3215719;3215719;3215719;3220530;3220530;3220530;3220530;3222331;3220530;3221294;3221294;3221294;3221294;3224807;3224807;3224807;3224807;3224807;3227530;3227530;3227530;3227530;3227530;3227885;3227885;3227885;3227885;3227885;3227885;3227885;3227885;3230186;3230101;3230065;3230101;3230101;3230101;3230101;3230149;3234059;3234059;3234059;3234059;3234645;3234645;3234645;3234645;3234645;3234645;3234645;3235660;3235660;3235660;3235660;3235660;3235660;3235660;3235660;3236353;3236353;3236353;3236353;3236353;3236353;3236353;3236353;3239441;3239459;3239485;3239485;3239485;3239485;3239485;3239485;3240975;3241027;3241027;3241027;3241027;3241027;3242718;3242718;3242718;3242718;3242718;3243350;3243350;3243350;3243350;3243350;3244586;3244587;3244585;3244588;3244581	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6370	3162
ENSMUSG00000020453	11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11	3288874;3289167;3289202;3289281;3289869;3289993;3289993;3290439;3290457;3291459;3292195;3292868;3293280;3293280;3293280;3293280;3293280;3293280;3293280;3293280;3293280;3293280;3294456;3294456;3294456;3294456;3294456;3294456;3298284;3299034;3299034;3299034;3299034;3299034;3299034;3299034;3306223;3306288;3306288;3307648;3307648;3307648;3307648;3307648;3307648;3307648	3289347;3289347;3289347;3289347;3290192;3291884;3291884;3291884;3291884;3291884;3292373;3293015;3293343;3293343;3293343;3293343;3293343;3293343;3293343;3293343;3293343;3293343;3294668;3294895;3294547;3294547;3295429;3295089;3298586;3299205;3299205;3299205;3299205;3299205;3299205;3299205;3306360;3306360;3306360;3307667;3308142;3309083;3309083;3309083;3309083;3309083	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5904	873
ENSMUSG00000053263	11;11	3305426;3330914	3308114;3331178	-;-	2954	14
